ontology,metric,value
ontology_1,named_classes,25
ontology_1,object_properties,35
ontology_1,datatype_properties,18
ontology_1,annotation_properties,0
ontology_1,named_individuals,0
ontology_1,named_subClassOf,13
ontology_1,bnode_subClassOf,5
ontology_1,equivalentClass,7
ontology_1,disjointWith,11
ontology_1,inverseOf,10
ontology_1,domain_axioms,60
ontology_1,range_axioms,56
ontology_1,rdfs_label,109
ontology_1,rdfs_comment,5
ontology_1,restrictions,5
ontology_1,total_triples,653
ontology_2,named_classes,33
ontology_2,object_properties,45
ontology_2,datatype_properties,19
ontology_2,annotation_properties,0
ontology_2,named_individuals,0
ontology_2,named_subClassOf,20
ontology_2,bnode_subClassOf,4
ontology_2,equivalentClass,11
ontology_2,disjointWith,16
ontology_2,inverseOf,15
ontology_2,domain_axioms,66
ontology_2,range_axioms,64
ontology_2,rdfs_label,122
ontology_2,rdfs_comment,13
ontology_2,restrictions,4
ontology_2,total_triples,715
ref_ontology_1,named_classes,60
ref_ontology_1,object_properties,130
ref_ontology_1,datatype_properties,35
ref_ontology_1,annotation_properties,2
ref_ontology_1,named_individuals,0
ref_ontology_1,named_subClassOf,59
ref_ontology_1,bnode_subClassOf,0
ref_ontology_1,equivalentClass,6
ref_ontology_1,disjointWith,2
ref_ontology_1,inverseOf,35
ref_ontology_1,domain_axioms,132
ref_ontology_1,range_axioms,128
ref_ontology_1,rdfs_label,187
ref_ontology_1,rdfs_comment,196
ref_ontology_1,restrictions,0
ref_ontology_1,total_triples,2141
ref_ontology_2,named_classes,0
ref_ontology_2,object_properties,0
ref_ontology_2,datatype_properties,0
ref_ontology_2,annotation_properties,0
ref_ontology_2,named_individuals,0
ref_ontology_2,named_subClassOf,17
ref_ontology_2,bnode_subClassOf,0
ref_ontology_2,equivalentClass,0
ref_ontology_2,disjointWith,0
ref_ontology_2,inverseOf,0
ref_ontology_2,domain_axioms,56
ref_ontology_2,range_axioms,55
ref_ontology_2,rdfs_label,0
ref_ontology_2,rdfs_comment,64
ref_ontology_2,restrictions,0
ref_ontology_2,total_triples,1139
