ontology,metric,value
ontology_1,classes,25
ontology_1,object_properties,35
ontology_1,datatype_properties,18
ontology_1,subclass_edges,13
ontology_1,relationship_richness,0.7291666666666666
ontology_1,attribute_richness,0.72
ontology_1,inheritance_richness,0.52
ontology_1,class_richness,0.72
ontology_2,classes,33
ontology_2,object_properties,45
ontology_2,datatype_properties,19
ontology_2,subclass_edges,20
ontology_2,relationship_richness,0.6923076923076923
ontology_2,attribute_richness,0.5151515151515151
ontology_2,inheritance_richness,0.6060606060606061
ontology_2,class_richness,0.42424242424242425
ref_ontology_1,classes,60
ref_ontology_1,object_properties,130
ref_ontology_1,datatype_properties,35
ref_ontology_1,subclass_edges,33
ref_ontology_1,relationship_richness,0.7975460122699386
ref_ontology_1,attribute_richness,0.4166666666666667
ref_ontology_1,inheritance_richness,0.55
ref_ontology_1,class_richness,0.03333333333333333
ref_ontology_2,classes,0
ref_ontology_2,object_properties,0
ref_ontology_2,datatype_properties,0
ref_ontology_2,subclass_edges,0
ref_ontology_2,relationship_richness,0.0
ref_ontology_2,attribute_richness,0.0
ref_ontology_2,inheritance_richness,0.0
ref_ontology_2,class_richness,0.0
