ontology,metric,value
music,ANOnto,1.44
music,AROnto,0.72
music,CROnto,0.0
music,DITOnto,2
music,INROnto,0.0
music,LCOMOnto,0.87
music,NACOnto,0.6
music,NOCOnto,0.52
music,NOMOnto,53.0
music,PROnto,1.0
music,RFCOnto,3.4
music,TMOnto,0.12
music,WMCOnto,2.12
music,CBOOnto,2.56
music,POnto,0.75
hospital,ANOnto,1.5454545454545454
hospital,AROnto,2.515151515151515
hospital,CROnto,0.0
hospital,DITOnto,3
hospital,INROnto,0.0
hospital,LCOMOnto,0.946969696969697
hospital,NACOnto,0.7272727272727273
hospital,NOCOnto,0.6060606060606061
hospital,NOMOnto,64.0
hospital,PROnto,1.0
hospital,RFCOnto,2.727272727272727
hospital,TMOnto,0.12121212121212122
hospital,WMCOnto,1.9393939393939394
hospital,CBOOnto,1.696969696969697
hospital,POnto,0.0
