ontology,metric,score
music,ANOnto,5
music,AROnto,5
music,CROnto,2
music,DITOnto,3
music,INROnto,2
music,LCOMOnto,2
music,NACOnto,2
music,NOCOnto,3
music,NOMOnto,5
music,PROnto,5
music,RFCOnto,5
music,TMOnto,4
music,WMCOnto,5
music,CBOOnto,2
music,POnto,5
hospital,ANOnto,5
hospital,AROnto,5
hospital,CROnto,2
hospital,DITOnto,4
hospital,INROnto,2
hospital,LCOMOnto,1
hospital,NACOnto,2
hospital,NOCOnto,3
hospital,NOMOnto,5
hospital,PROnto,5
hospital,RFCOnto,5
hospital,TMOnto,4
hospital,WMCOnto,5
hospital,CBOOnto,3
hospital,POnto,2
