,M13,M19,M21,M22,M23,M24,M25,M26,M27,M29,M28,M31,M37,M40,M32,M34,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M14,M15,M16,M17,M18,M20,M30,M33,M35,M36,M38,M39
M13,0,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,10,11,11,11,10,10,10,11,10,11,11,11,11,11,11,11,11,9,11,9,9,11,11
M19,11,0,12,12,11,12,11,12,12,12,12,12,12,11,12,11,12,11,12,12,12,11,11,11,12,11,12,12,12,12,12,12,12,12,10,11,10,10,12,12
M21,11,12,0,12,11,12,11,12,12,12,12,12,12,11,12,11,12,11,12,12,12,11,11,11,12,11,12,12,12,12,12,12,12,12,10,11,10,10,12,12
M22,11,12,12,0,11,12,11,12,12,12,12,12,12,11,12,11,12,11,12,12,12,11,11,11,12,11,12,12,12,12,12,12,12,12,10,11,10,10,12,12
M23,11,11,11,11,0,11,10,11,11,11,11,11,11,11,11,11,11,10,11,11,11,10,10,10,11,10,11,11,11,11,11,11,11,11,9,11,9,9,11,11
M24,11,12,12,12,11,0,11,12,12,12,12,12,12,11,12,11,12,11,12,12,12,11,11,11,12,11,12,12,12,12,12,12,12,12,10,11,10,10,12,12
M25,10,11,11,11,10,11,0,11,11,11,11,11,11,10,11,10,11,10,11,11,11,10,10,10,11,10,11,11,11,11,11,11,11,11,9,10,9,9,11,11
M26,11,12,12,12,11,12,11,0,12,12,12,12,12,11,12,11,12,11,12,12,12,11,11,11,12,11,12,12,12,12,12,12,12,12,10,11,10,10,12,12
M27,11,12,12,12,11,12,11,12,0,12,12,12,12,11,12,11,12,11,12,12,12,11,11,11,12,11,12,12,12,12,12,12,12,12,10,11,10,10,12,12
M29,11,12,12,12,11,12,11,12,12,0,12,12,12,11,12,11,12,11,12,12,12,11,11,11,12,11,12,12,12,12,12,12,12,12,10,11,10,10,12,12
M28,11,12,12,12,11,12,11,12,12,12,0,12,12,11,12,11,12,11,12,12,12,11,11,11,12,11,12,12,12,12,12,12,12,12,10,11,10,10,12,12
M31,11,12,12,12,11,12,11,12,12,12,12,0,12,11,12,11,12,11,12,12,12,11,11,11,12,11,12,12,12,12,12,12,12,12,10,11,10,10,12,12
M37,11,12,12,12,11,12,11,12,12,12,12,12,0,11,12,11,12,11,12,12,12,11,11,11,12,11,12,12,12,12,12,12,12,12,10,11,10,10,12,12
M40,11,11,11,11,11,11,10,11,11,11,11,11,11,0,11,11,11,10,11,11,11,10,10,10,11,10,11,11,11,11,11,11,11,11,9,11,9,9,11,11
M32,11,12,12,12,11,12,11,12,12,12,12,12,12,11,0,11,12,11,12,12,12,11,11,11,12,11,12,12,12,12,12,12,12,12,10,11,10,10,12,12
M34,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,0,11,10,11,11,11,10,10,10,11,10,11,11,11,11,11,11,11,11,9,11,9,9,11,11
M01,11,12,12,12,11,12,11,12,12,12,12,12,12,11,12,11,0,11,12,12,12,11,11,11,12,11,12,12,12,12,12,12,12,12,10,11,10,10,12,12
M02,10,11,11,11,10,11,10,11,11,11,11,11,11,10,11,10,11,0,11,11,11,10,10,11,11,10,11,11,11,11,11,11,11,11,10,10,9,10,11,11
M03,11,12,12,12,11,12,11,12,12,12,12,12,12,11,12,11,12,11,0,12,12,11,11,11,12,11,12,12,12,12,12,12,12,12,10,11,10,10,12,12
M04,11,12,12,12,11,12,11,12,12,12,12,12,12,11,12,11,12,11,12,0,12,11,11,11,12,11,12,12,12,12,12,12,12,12,10,11,10,10,12,12
M05,11,12,12,12,11,12,11,12,12,12,12,12,12,11,12,11,12,11,12,12,0,11,11,11,12,11,12,12,12,12,12,12,12,12,10,11,10,10,12,12
M06,10,11,11,11,10,11,10,11,11,11,11,11,11,10,11,10,11,10,11,11,11,0,10,10,11,10,11,11,11,11,11,11,11,11,9,10,10,9,11,11
M07,10,11,11,11,10,11,10,11,11,11,11,11,11,10,11,10,11,10,11,11,11,10,0,10,11,10,11,11,11,11,11,11,11,11,9,10,9,9,11,11
M08,10,11,11,11,10,11,10,11,11,11,11,11,11,10,11,10,11,11,11,11,11,10,10,0,11,10,11,11,11,11,11,11,11,11,10,10,9,10,11,11
M09,11,12,12,12,11,12,11,12,12,12,12,12,12,11,12,11,12,11,12,12,12,11,11,11,0,11,12,12,12,12,12,12,12,12,10,11,10,10,12,12
M10,10,11,11,11,10,11,10,11,11,11,11,11,11,10,11,10,11,10,11,11,11,10,10,10,11,0,11,11,11,11,11,11,11,11,10,10,10,10,11,11
M11,11,12,12,12,11,12,11,12,12,12,12,12,12,11,12,11,12,11,12,12,12,11,11,11,12,11,0,12,12,12,12,12,12,12,10,11,10,10,12,12
M12,11,12,12,12,11,12,11,12,12,12,12,12,12,11,12,11,12,11,12,12,12,11,11,11,12,11,12,0,12,12,12,12,12,12,10,11,10,10,12,12
M14,11,12,12,12,11,12,11,12,12,12,12,12,12,11,12,11,12,11,12,12,12,11,11,11,12,11,12,12,0,12,12,12,12,12,10,11,10,10,12,12
M15,11,12,12,12,11,12,11,12,12,12,12,12,12,11,12,11,12,11,12,12,12,11,11,11,12,11,12,12,12,0,12,12,12,12,10,11,10,10,12,12
M16,11,12,12,12,11,12,11,12,12,12,12,12,12,11,12,11,12,11,12,12,12,11,11,11,12,11,12,12,12,12,0,12,12,12,10,11,10,10,12,12
M17,11,12,12,12,11,12,11,12,12,12,12,12,12,11,12,11,12,11,12,12,12,11,11,11,12,11,12,12,12,12,12,0,12,12,10,11,10,10,12,12
M18,11,12,12,12,11,12,11,12,12,12,12,12,12,11,12,11,12,11,12,12,12,11,11,11,12,11,12,12,12,12,12,12,0,12,10,11,10,10,12,12
M20,11,12,12,12,11,12,11,12,12,12,12,12,12,11,12,11,12,11,12,12,12,11,11,11,12,11,12,12,12,12,12,12,12,0,10,11,10,10,12,12
M30,9,10,10,10,9,10,9,10,10,10,10,10,10,9,10,9,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,0,9,9,10,10,10
