,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40
M01,0,9,10,10,9,8,10,8,7,9,9,11,6,6,6,9,8,10,1,9,0,0,0,0,0,0,2,1,1,7,2,1,3,2,8,5,1,10,10,2
M02,9,0,10,10,9,10,9,9,9,9,11,11,5,6,6,9,8,9,1,9,0,0,0,0,0,0,1,1,0,6,2,0,2,2,10,7,2,11,9,2
M03,10,10,0,9,10,10,12,10,9,10,11,12,4,6,7,11,9,11,2,9,1,1,1,1,1,1,0,0,1,7,0,0,4,3,10,6,3,11,10,0
M04,10,10,9,0,9,8,9,8,7,8,9,10,6,7,6,8,8,9,3,9,1,1,1,1,0,1,3,2,2,6,3,1,2,2,8,5,1,11,11,3
M05,9,9,10,9,0,9,9,9,9,8,11,10,5,6,7,10,8,10,1,9,1,1,1,1,0,1,1,2,1,6,1,1,3,1,9,7,3,11,11,1
M06,8,10,10,8,9,0,9,8,9,9,11,10,5,7,6,9,7,9,2,9,1,1,1,1,1,1,0,1,0,6,1,0,2,1,11,7,2,10,9,1
M07,10,9,12,9,9,9,0,9,8,9,10,11,4,6,7,10,9,11,2,9,1,1,1,1,1,1,0,0,1,7,0,0,4,3,9,5,2,10,10,0
M08,8,9,10,8,9,8,9,0,10,9,10,10,5,4,7,10,11,10,2,9,1,1,1,1,1,1,0,1,0,6,0,0,4,3,8,5,2,9,9,0
M09,7,9,9,7,9,9,8,10,0,8,11,9,6,4,7,9,9,9,3,10,2,2,2,2,2,2,1,2,0,4,1,0,5,2,9,5,2,9,9,2
M10,9,9,10,8,8,9,9,9,8,0,9,11,5,6,6,9,8,9,1,9,0,0,0,0,0,0,2,1,1,6,2,0,3,2,9,5,3,10,8,1
M11,9,11,11,9,11,11,10,10,11,9,0,11,4,6,8,11,9,11,1,11,0,0,0,0,0,0,0,2,0,6,1,0,4,2,11,7,2,11,11,1
M12,11,11,12,10,10,10,11,10,9,11,11,0,5,7,7,11,9,11,1,9,0,0,0,0,0,0,1,0,0,7,1,0,4,3,10,6,2,12,10,1
M13,6,5,4,6,5,5,4,5,6,5,4,5,0,5,2,3,6,4,5,4,6,6,6,6,5,6,4,0,2,3,1,2,1,1,4,2,1,6,5,2
M14,6,6,6,7,6,7,6,4,4,6,6,7,5,0,6,6,5,7,3,5,2,2,2,2,1,2,2,0,1,4,1,5,5,2,6,4,2,8,7,2
M15,6,6,7,6,7,6,7,7,7,6,8,7,2,6,0,7,8,9,1,8,1,1,1,1,1,1,1,1,1,6,0,4,8,4,6,3,4,7,8,2
M16,9,9,11,8,10,9,10,10,9,9,11,11,3,6,7,0,9,11,2,9,1,1,1,1,1,1,1,1,0,6,0,0,5,4,9,7,1,10,10,0
M17,8,8,9,8,8,7,9,11,9,8,9,9,6,5,8,9,0,11,3,9,2,2,2,2,2,2,1,1,1,7,0,1,5,3,7,4,1,8,9,0
M18,10,9,11,9,10,9,11,10,9,9,11,11,4,7,9,11,11,0,1,10,0,0,0,0,0,0,0,1,0,8,0,1,6,3,9,5,1,10,11,0
M19,1,1,2,3,1,2,2,2,3,1,1,1,5,3,1,2,3,1,0,2,10,10,9,10,9,10,8,1,7,0,1,1,2,3,1,1,1,2,3,3
M20,9,9,9,9,9,9,9,9,10,9,11,9,4,5,8,9,9,10,2,0,0,0,0,0,0,0,2,4,2,5,3,0,4,2,9,5,2,9,11,2
M21,0,0,1,1,1,1,1,1,2,0,0,0,6,2,1,1,2,0,10,0,0,13,12,13,12,13,9,0,8,2,0,2,2,2,0,1,2,1,1,1
M22,0,0,1,1,1,1,1,1,2,0,0,0,6,2,1,1,2,0,10,0,13,0,12,13,12,13,9,0,8,2,0,2,2,2,0,1,2,1,1,1
M23,0,0,1,1,1,1,1,1,2,0,0,0,6,2,1,1,2,0,9,0,12,12,0,12,11,12,8,0,7,2,0,2,2,2,0,1,2,1,1,1
M24,0,0,1,1,1,1,1,1,2,0,0,0,6,2,1,1,2,0,10,0,13,13,12,0,12,13,9,0,8,2,0,2,2,2,0,1,2,1,1,1
M25,0,0,1,0,0,1,1,1,2,0,0,0,5,1,1,1,2,0,9,0,12,12,11,12,0,12,8,0,7,2,0,1,2,2,0,1,2,0,0,1
M26,0,0,1,1,1,1,1,1,2,0,0,0,6,2,1,1,2,0,10,0,13,13,12,13,12,0,9,0,8,2,0,2,2,2,0,1,2,1,1,1
M27,2,1,0,3,1,0,0,0,1,2,0,1,4,2,1,1,1,0,8,2,9,9,8,9,8,9,0,3,10,2,4,2,2,1,0,1,3,2,2,4
M28,1,1,0,2,2,1,0,1,2,1,2,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,3,0,5,0,12,0,1,0,1,3,3,0,2,7
M29,1,0,1,2,1,0,1,0,0,1,0,0,2,1,1,0,1,0,7,2,8,8,7,8,7,8,10,5,0,2,5,2,1,0,0,0,4,1,2,3
M30,7,6,7,6,6,6,7,6,4,6,6,7,3,4,6,6,7,8,0,5,2,2,2,2,2,2,2,0,2,0,0,3,3,2,6,5,2,6,6,0
M31,2,2,0,3,1,1,0,0,1,2,1,1,1,1,0,0,0,0,1,3,0,0,0,0,0,0,4,12,5,0,0,0,0,0,1,3,3,1,1,8
M32,1,0,0,1,1,0,0,0,0,0,0,0,2,5,4,0,1,1,1,0,2,2,2,2,1,2,2,0,2,3,0,0,5,6,0,1,6,1,1,2
M33,3,2,4,2,3,2,4,4,5,3,4,4,1,5,8,5,5,6,2,4,2,2,2,2,2,2,2,1,1,3,0,5,0,5,2,0,2,3,4,3
M34,2,2,3,2,1,1,3,3,2,2,2,3,1,2,4,4,3,3,3,2,2,2,2,2,2,2,1,0,0,2,0,6,5,0,1,2,4,2,2,3
M35,8,10,10,8,9,11,9,8,9,9,11,10,4,6,6,9,7,9,1,9,0,0,0,0,0,0,0,1,0,6,1,0,2,1,0,7,2,10,9,1
