,M13,M19,M21,M22,M23,M24,M25,M26,M27,M29,M28,M31,M40,M32,M34,M37,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M14,M15,M16,M17,M18,M20,M30,M33,M35,M36,M38,M39
M13,0,5,6,6,6,6,5,6,4,2,0,1,2,2,1,1,6,5,4,6,5,5,4,5,6,5,4,5,5,2,3,6,4,4,3,1,4,2,6,5
M19,5,0,10,10,9,10,9,10,8,7,1,1,3,1,3,1,1,1,2,3,1,2,2,2,3,1,1,1,3,1,2,3,1,2,0,2,1,1,2,3
M21,6,10,0,13,12,13,12,13,9,8,0,0,1,2,2,2,0,0,1,1,1,1,1,1,2,0,0,0,2,1,1,2,0,0,2,2,0,1,1,1
M22,6,10,13,0,12,13,12,13,9,8,0,0,1,2,2,2,0,0,1,1,1,1,1,1,2,0,0,0,2,1,1,2,0,0,2,2,0,1,1,1
M23,6,9,12,12,0,12,11,12,8,7,0,0,1,2,2,2,0,0,1,1,1,1,1,1,2,0,0,0,2,1,1,2,0,0,2,2,0,1,1,1
M24,6,10,13,13,12,0,12,13,9,8,0,0,1,2,2,2,0,0,1,1,1,1,1,1,2,0,0,0,2,1,1,2,0,0,2,2,0,1,1,1
M25,5,9,12,12,11,12,0,12,8,7,0,0,1,1,2,2,0,0,1,0,0,1,1,1,2,0,0,0,1,1,1,2,0,0,2,2,0,1,0,0
M26,6,10,13,13,12,13,12,0,9,8,0,0,1,2,2,2,0,0,1,1,1,1,1,1,2,0,0,0,2,1,1,2,0,0,2,2,0,1,1,1
M27,4,8,9,9,8,9,8,9,0,10,3,4,4,2,1,3,2,1,0,3,1,0,0,0,1,2,0,1,2,1,1,1,0,2,2,2,0,1,2,2
M29,2,7,8,8,7,8,7,8,10,0,5,5,3,2,0,4,1,0,1,2,1,0,1,0,0,1,0,0,1,1,0,1,0,2,2,1,0,0,1,2
M28,0,1,0,0,0,0,0,0,3,5,0,12,7,0,0,3,1,1,0,2,2,1,0,1,2,1,2,0,0,1,1,1,1,4,0,1,1,3,0,2
M31,1,1,0,0,0,0,0,0,4,5,12,0,8,0,0,3,2,2,0,3,1,1,0,0,1,2,1,1,1,0,0,0,0,3,0,0,1,3,1,1
M40,2,3,1,1,1,1,1,1,4,3,7,8,0,2,3,3,2,2,0,3,1,1,0,0,2,1,1,1,2,2,0,0,0,2,0,3,1,2,1,1
M32,2,1,2,2,2,2,1,2,2,2,0,0,2,0,6,6,1,0,0,1,1,0,0,0,0,0,0,0,5,4,0,1,1,0,3,5,0,1,1,1
M34,1,3,2,2,2,2,2,2,1,0,0,0,3,6,0,4,2,2,3,2,1,1,3,3,2,2,2,3,2,4,4,3,3,2,2,5,1,2,2,2
M37,1,1,2,2,2,2,2,2,3,4,3,3,3,6,4,0,1,2,3,1,3,2,2,2,2,3,2,2,2,4,1,1,1,2,2,2,2,2,2,1
M01,6,1,0,0,0,0,0,0,2,1,1,2,2,1,2,1,0,9,10,10,9,8,10,8,7,9,9,11,6,6,9,8,10,9,7,3,8,5,10,10
M02,5,1,0,0,0,0,0,0,1,0,1,2,2,0,2,2,9,0,10,10,9,10,9,9,9,9,11,11,6,6,9,8,9,9,6,2,10,7,11,9
M03,4,2,1,1,1,1,1,1,0,1,0,0,0,0,3,3,10,10,0,9,10,10,12,10,9,10,11,12,6,7,11,9,11,9,7,4,10,6,11,10
M04,6,3,1,1,1,1,0,1,3,2,2,3,3,1,2,1,10,10,9,0,9,8,9,8,7,8,9,10,7,6,8,8,9,9,6,2,8,5,11,11
M05,5,1,1,1,1,1,0,1,1,1,2,1,1,1,1,3,9,9,10,9,0,9,9,9,9,8,11,10,6,7,10,8,10,9,6,3,9,7,11,11
M06,5,2,1,1,1,1,1,1,0,0,1,1,1,0,1,2,8,10,10,8,9,0,9,8,9,9,11,10,7,6,9,7,9,9,6,2,11,7,10,9
M07,4,2,1,1,1,1,1,1,0,1,0,0,0,0,3,2,10,9,12,9,9,9,0,9,8,9,10,11,6,7,10,9,11,9,7,4,9,5,10,10
M08,5,2,1,1,1,1,1,1,0,0,1,0,0,0,3,2,8,9,10,8,9,8,9,0,10,9,10,10,4,7,10,11,10,9,6,4,8,5,9,9
M09,6,3,2,2,2,2,2,2,1,0,2,1,2,0,2,2,7,9,9,7,9,9,8,10,0,8,11,9,4,7,9,9,9,10,4,5,9,5,9,9
M10,5,1,0,0,0,0,0,0,2,1,1,2,1,0,2,3,9,9,10,8,8,9,9,9,8,0,9,11,6,6,9,8,9,9,6,3,9,5,10,8
M11,4,1,0,0,0,0,0,0,0,0,2,1,1,0,2,2,9,11,11,9,11,11,10,10,11,9,0,11,6,8,11,9,11,11,6,4,11,7,11,11
M12,5,1,0,0,0,0,0,0,1,0,0,1,1,0,3,2,11,11,12,10,10,10,11,10,9,11,11,0,7,7,11,9,11,9,7,4,10,6,12,10
M14,5,3,2,2,2,2,1,2,2,1,0,1,2,5,2,2,6,6,6,7,6,7,6,4,4,6,6,7,0,6,6,5,7,5,4,5,6,4,8,7
M15,2,1,1,1,1,1,1,1,1,1,1,0,2,4,4,4,6,6,7,6,7,6,7,7,7,6,8,7,6,0,7,8,9,8,6,8,6,3,7,8
M16,3,2,1,1,1,1,1,1,1,0,1,0,0,0,4,1,9,9,11,8,10,9,10,10,9,9,11,11,6,7,0,9,11,9,6,5,9,7,10,10
