,1vtb,2gqa,80gv,8qhw,hfb3,hklh,l2fz,lscq,o5k9,qsdg,r0pn,t7xv,t9je
1vtb,1.0,0.6666666666666666,0.6285714285714286,0.7777777777777778,0.6285714285714286,0.7222222222222222,0.8,0.7777777777777778,0.7777777777777778,0.7647058823529411,0.6,0.8387096774193549,0.7222222222222222
2gqa,0.6666666666666666,1.0,0.5384615384615384,0.7,0.5,0.65,0.8461538461538461,0.775,0.725,0.75,0.48717948717948717,0.8285714285714286,0.8
80gv,0.6285714285714286,0.5384615384615384,1.0,0.6666666666666666,0.4864864864864865,0.6410256410256411,0.6052631578947368,0.5897435897435898,0.5384615384615384,0.6285714285714286,0.42105263157894735,0.6470588235294118,0.6153846153846154
8qhw,0.7777777777777778,0.7,0.6666666666666666,1.0,0.5,0.65,0.8461538461538461,0.775,0.7,0.75,0.48717948717948717,0.8857142857142857,0.825
hfb3,0.6285714285714286,0.5,0.4864864864864865,0.5,1.0,0.4473684210526316,0.5945945945945946,0.5,0.5263157894736842,0.6470588235294118,0.40540540540540543,0.5757575757575758,0.5263157894736842
hklh,0.7222222222222222,0.65,0.6410256410256411,0.65,0.4473684210526316,1.0,0.717948717948718,0.775,0.575,0.7222222222222222,0.46153846153846156,0.7142857142857143,0.725
l2fz,0.8,0.8461538461538461,0.6052631578947368,0.8461538461538461,0.5945945945945946,0.717948717948718,1.0,0.8974358974358975,0.7948717948717948,0.9142857142857143,0.5789473684210527,0.9714285714285714,0.8974358974358975
lscq,0.7777777777777778,0.775,0.5897435897435898,0.775,0.5,0.775,0.8974358974358975,1.0,0.7,0.8333333333333334,0.5384615384615384,0.9142857142857143,0.8
o5k9,0.7777777777777778,0.725,0.5384615384615384,0.7,0.5263157894736842,0.575,0.7948717948717948,0.7,1.0,0.7777777777777778,0.5384615384615384,0.8,0.725
qsdg,0.7647058823529411,0.75,0.6285714285714286,0.75,0.6470588235294118,0.7222222222222222,0.9142857142857143,0.8333333333333334,0.7777777777777778,1.0,0.6,0.9032258064516129,0.8055555555555556
r0pn,0.6,0.48717948717948717,0.42105263157894735,0.48717948717948717,0.40540540540540543,0.46153846153846156,0.5789473684210527,0.5384615384615384,0.5384615384615384,0.6,1.0,0.5882352941176471,0.5897435897435898
t7xv,0.8387096774193549,0.8285714285714286,0.6470588235294118,0.8857142857142857,0.5757575757575758,0.7142857142857143,0.9714285714285714,0.9142857142857143,0.8,0.9032258064516129,0.5882352941176471,1.0,0.9428571428571428
t9je,0.7222222222222222,0.8,0.6153846153846154,0.825,0.5263157894736842,0.725,0.8974358974358975,0.8,0.725,0.8055555555555556,0.5897435897435898,0.9428571428571428,1.0
