participant,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40
1vtb,D,D,D,D,D,A,D,D,D,SA,D,D,A,A,D,D,D,D,A,D,A,A,A,A,A,A,B,B,B,SA,B,C,D,D,SA,SA,B,D,D,B
2gqa,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,C,D,A,A,A,A,A,A,A,B,A,A,B,A,A,C,D,D,A,D,D,C
80gv,B,D,D,B,D,D,SA,D,D,D,D,D,A,C,C,D,C,C,B,B,A,A,A,A,A,A,B,B,B,C,B,C,C,A,D,D,D,D,B,B
8qhw,D,D,D,D,D,D,D,D,D,D,D,D,D,C,D,A,D,D,A,D,A,A,A,A,A,A,A,B,B,D,B,C,C,A,D,A,D,D,D,B
hfb3,B,B,A,B,D,SA,A,D,D,B,D,B,B,B,D,D,D,D,A,D,A,A,A,A,A,A,B,D,A,C,B,C,D,C,SA,C,A,B,D,B
hklh,D,D,D,D,D,D,D,A,A,B,D,D,A,D,C,D,A,D,A,B,A,A,A,A,A,A,B,B,B,D,B,C,C,C,D,D,B,D,D,C
l2fz,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,A,A,A,A,A,A,A,B,A,D,B,C,SA,C,D,D,C,D,D,B
lscq,D,D,D,D,D,D,D,D,A,D,D,D,A,D,D,D,D,D,A,D,A,A,A,A,A,A,A,B,B,D,B,C,A,C,D,D,C,D,D,A
o5k9,C,D,D,D,B,D,D,D,D,D,D,D,C,D,D,D,D,D,D,D,A,A,A,A,A,A,A,B,A,A,B,C,D,D,D,B,B,D,D,B
qsdg,D,SA,D,B,D,D,D,SA,D,D,D,D,A,D,D,D,A,D,A,D,A,A,A,A,A,A,A,B,A,SA,B,C,D,C,D,SA,C,D,D,B
r0pn,D,B,D,A,A,B,D,D,B,D,B,D,A,A,C,D,D,D,A,B,A,A,A,A,SA,A,A,B,A,D,B,A,D,D,B,B,C,A,A,B
t7xv,D,D,D,D,D,D,D,D,D,D,D,D,SA,C,D,D,D,D,A,D,A,A,SA,A,A,A,A,B,A,D,B,C,SA,SA,D,D,C,D,D,SA
t9je,D,D,D,D,D,D,D,D,D,D,D,D,D,C,C,D,D,D,A,D,A,A,A,A,A,A,A,B,A,D,B,C,C,C,D,B,C,D,D,C
