card_id,A,B,C,D
M01,0,2,1,10
M02,0,2,0,10
M03,1,0,0,12
M04,1,3,0,9
M05,1,1,0,11
M06,1,1,0,10
M07,1,0,0,11
M08,1,0,0,11
M09,2,1,0,10
M10,0,2,0,10
M11,0,1,0,12
M12,0,1,0,12
M13,6,1,1,4
M14,2,1,4,6
M15,1,0,4,8
M16,1,0,0,12
M17,2,0,1,10
M18,0,0,1,12
M19,10,1,1,1
M20,0,3,0,10
M21,13,0,0,0
M22,13,0,0,0
M23,12,0,0,0
M24,13,0,0,0
M25,12,0,0,0
M26,13,0,0,0
M27,9,4,0,0
M28,0,12,0,1
M29,8,5,0,0
M30,2,0,2,7
M31,0,13,0,0
M32,2,0,11,0
M33,2,0,4,5
M34,2,0,7,3
M35,0,1,0,10
M36,1,3,1,6
M37,2,3,6,2
M38,1,1,0,11
M39,1,1,0,11
M40,1,8,3,0
