ontology,cq_id,question,satisfied,answerable,result_count,answers,query_error,sparql
music,CQ1,What instruments does a certain person play?,True,True,7,person=Anthony_Kiedis; instrument=Vocals | person=Chad_Smith; instrument=Drums | person=John_Frusciante; instrument=Guitar | person=Flea; instrument=Bass | person=Flea; instrument=Keyboards | person=Flea; instrument=Trumpet | person=Flea; instrument=Vocals,,"PREFIX : <http://www.example.org/ontology/music#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT ?person ?instrument WHERE {
              ?person a :Cl_Musician ; :playsInstrument ?instrument .
            }"
music,CQ2,What are the members of a certain band at a certain point in time?,True,True,12,band=Red_Hot_Chili_Peppers; member=Anthony_Kiedis; startDate=1983-01-01 | band=Red_Hot_Chili_Peppers; member=Chad_Smith; startDate=1990-01-01 | band=Red_Hot_Chili_Peppers; member=Flea; startDate=1983-01-01 | band=Red_Hot_Chili_Peppers; member=Hillel_Slovak; startDate=1983-01-01; endDate=1988-01-01 | band=Red_Hot_Chili_Peppers; member=Jack_Irons; startDate=1983-01-01; endDate=1990-01-01 | band=Red_Hot_Chili_Peppers; member=John_Frusciante; startDate=1988-01-01 | band=The_Mars_Volta; member=John_Frusciante; startDate=2000-01-01 | band=Red_Hot_Chili_Peppers; member=D_H_Peligo; startDate=1990-01-01; endDate=1990-06-01 | band=RedHotChiliPeppers; member=Anthony_Kiedis | band=RedHotChiliPeppers; member=Chad_Smith | band=RedHotChiliPeppers; member=Flea | band=RedHotChiliPeppers; member=John_Frusciante,,"PREFIX : <http://www.example.org/ontology/music#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT DISTINCT ?band ?member ?startDate ?endDate WHERE {
              {
                ?membership a :Cl_Membership ;
                  :hasBand ?band ;
                  :hasMember ?member .
                OPTIONAL {
                  ?membership :hasTimeInterval ?interval .
                  OPTIONAL { ?interval :startDate ?startDate . }
                  OPTIONAL { ?interval :endDate ?endDate . }
                }
              }
              UNION {
                ?band a :Cl_Band ; :hasMember ?member .
              }
            }"
music,CQ3,What role does a certain person have in a certain band at a certain point in time?,True,True,10,band=Red_Hot_Chili_Peppers; person=Anthony_Kiedis; role=Vocals; startDate=1983-01-01 | band=Red_Hot_Chili_Peppers; person=Chad_Smith; role=Drums; startDate=1990-01-01 | band=Red_Hot_Chili_Peppers; person=Flea; role=Keyboards; startDate=1983-01-01 | band=Red_Hot_Chili_Peppers; person=Flea; role=Bass; startDate=1983-01-01 | band=Red_Hot_Chili_Peppers; person=Flea; role=Trumpet; startDate=1983-01-01 | band=Red_Hot_Chili_Peppers; person=Hillel_Slovak; role=Guitar; startDate=1983-01-01; endDate=1988-01-01 | band=Red_Hot_Chili_Peppers; person=Jack_Irons; role=Drums; startDate=1983-01-01; endDate=1990-01-01 | band=Red_Hot_Chili_Peppers; person=John_Frusciante; role=Guitar; startDate=1988-01-01 | band=The_Mars_Volta; person=John_Frusciante; role=Vocals; startDate=2000-01-01 | band=Red_Hot_Chili_Peppers; person=D_H_Peligo; role=Drums; startDate=1990-01-01; endDate=1990-06-01,,"PREFIX : <http://www.example.org/ontology/music#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT ?band ?person ?role ?startDate ?endDate WHERE {
              ?membership a :Cl_Membership ;
                :hasBand ?band ;
                :hasMember ?person ;
                :hasRole ?role .
              OPTIONAL {
                ?membership :hasTimeInterval ?interval .
                OPTIONAL { ?interval :startDate ?startDate . }
                OPTIONAL { ?interval :endDate ?endDate . }
              }
            }"
music,CQ4,During what time period was a certain album recorded?,True,True,1,album=Stadium_Arcadium; startDate=2004-09-01; endDate=2006-05-05,,"PREFIX : <http://www.example.org/ontology/music#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT ?album ?startDate ?endDate WHERE {
              ?album a :Cl_Album ; :hasRecordingEvent ?recording .
              ?recording :recordingStartDate ?startDate ;
                :recordingEndDate ?endDate .
            }"
music,CQ5,How many tracks does a particular album contain?,True,True,1,album=Stadium_Arcadium; trackCount=1,,"PREFIX : <http://www.example.org/ontology/music#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT ?album (COUNT(?track) AS ?trackCount) WHERE {
              ?album a :Cl_Album ; :hasTrack ?track .
            }
            GROUP BY ?album"
music,CQ6,When was a certain album released?,True,True,1,album=Stadium_Arcadium; releaseDate=2006-05-05,,"PREFIX : <http://www.example.org/ontology/music#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT DISTINCT ?album ?releaseDate WHERE {
              ?album a :Cl_Album .
              {
                ?album :releaseDate ?releaseDate .
              }
              UNION {
                ?album :albumReleaseDate ?releaseDate .
              }
            }"
music,CQ7,What song is a specific track a recording of?,True,True,1,track=Hump_de_Bump; song=Hump_de_Bump,,"PREFIX : <http://www.example.org/ontology/music#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT DISTINCT ?track ?song WHERE {
              {
                ?track a :Cl_Track ; :trackOfSong ?song .
              }
              UNION {
                ?track a :Cl_Track ; :recordingOf ?song .
              }
              UNION {
                ?track a :Cl_Track ; :isSongOf ?song .
              }
              UNION {
                ?track a :Cl_Track, :Cl_Song .
                BIND(?track AS ?song)
              }
            }"
music,CQ8,When was a certain song composed?,True,True,1,song=Hump_de_Bump; compositionDate=2004-01-26,,"PREFIX : <http://www.example.org/ontology/music#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT DISTINCT ?song ?compositionDate WHERE {
              ?song a :Cl_Song .
              {
                ?song :composedDate ?compositionDate .
              }
              UNION {
                ?song :trackCompositionDate ?compositionDate .
              }
              UNION {
                ?song :hasCompositionEvent ?event .
                ?event :hasCompositionDate ?compositionDate .
              }
            }"
music,CQ9,What does a certain critic say about a certain record?,True,True,1,critic=Crian_Hiatt; record=Stadium_Arcadium; statement=the most ambitious work in his twenty-three-year career,,"PREFIX : <http://www.example.org/ontology/music#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT ?critic ?record ?statement WHERE {
              ?review a :Cl_CriticRecordStatement ;
                :hasCritic ?critic ;
                :hasRecord ?record ;
                :statementText ?statement .
            }"
music,CQ10,When did a certain performance take place?,True,True,1,performance=Performance_Portland_2006; date=2006-08-11,,"PREFIX : <http://www.example.org/ontology/music#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
SELECT ?performance ?date WHERE {
              ?performance a :Cl_Performance ; :performanceDate ?date .
            }"
