comparison,term,ontology_count,source_text_count,in_both
music_final_vs_music_story,addition,0,1,False
music_final_vs_music_story,album,9,3,True
music_final_vs_music_story,also,0,1,False
music_final_vs_music_story,ambitiou,0,1,False
music_final_vs_music_story,anthony,0,1,False
music_final_vs_music_story,arcadium,0,2,False
music_final_vs_music_story,artist,2,0,False
music_final_vs_music_story,august,0,1,False
music_final_vs_music_story,band,10,4,True
music_final_vs_music_story,bass,0,1,False
music_final_vs_music_story,briefly,0,1,False
music_final_vs_music_story,bump,0,1,False
music_final_vs_music_story,career,0,1,False
music_final_vs_music_story,chad,0,2,False
music_final_vs_music_story,changed,0,1,False
music_final_vs_music_story,chili,0,3,False
music_final_vs_music_story,city,2,0,False
music_final_vs_music_story,compos,1,0,False
music_final_vs_music_story,composed,0,1,False
music_final_vs_music_story,composition,6,0,False
music_final_vs_music_story,concert,1,0,False
music_final_vs_music_story,configuration,0,1,False
music_final_vs_music_story,contain,1,1,True
music_final_vs_music_story,contributed,0,1,False
music_final_vs_music_story,country,1,0,False
music_final_vs_music_story,crian,0,1,False
music_final_vs_music_story,critic,3,1,True
music_final_vs_music_story,date,15,0,False
music_final_vs_music_story,defined,0,1,False
music_final_vs_music_story,drum,0,1,False
music_final_vs_music_story,during,1,1,True
music_final_vs_music_story,end,3,0,False
music_final_vs_music_story,entity,1,0,False
music_final_vs_music_story,event,6,0,False
music_final_vs_music_story,featuring,0,1,False
music_final_vs_music_story,few,0,1,False
music_final_vs_music_story,flea,0,1,False
music_final_vs_music_story,found,0,1,False
music_final_vs_music_story,frusciante,0,3,False
music_final_vs_music_story,function,2,0,False
music_final_vs_music_story,gave,0,1,False
music_final_vs_music_story,group,2,0,False
music_final_vs_music_story,guitar,0,2,False
music_final_vs_music_story,hiatt,0,1,False
music_final_vs_music_story,hillel,0,1,False
music_final_vs_music_story,hot,0,3,False
music_final_vs_music_story,hump,0,1,False
music_final_vs_music_story,include,0,1,False
music_final_vs_music_story,individual,1,0,False
music_final_vs_music_story,instrument,3,0,False
music_final_vs_music_story,interval,2,0,False
music_final_vs_music_story,iron,0,1,False
music_final_vs_music_story,jack,0,1,False
music_final_vs_music_story,january,0,1,False
music_final_vs_music_story,john,0,1,False
music_final_vs_music_story,keyboard,0,1,False
music_final_vs_music_story,kiedi,0,1,False
music_final_vs_music_story,left,0,1,False
music_final_vs_music_story,line,0,1,False
music_final_vs_music_story,live,2,1,True
music_final_vs_music_story,located,1,0,False
music_final_vs_music_story,location,3,0,False
music_final_vs_music_story,mar,0,1,False
music_final_vs_music_story,may,0,1,False
music_final_vs_music_story,member,6,0,False
music_final_vs_music_story,membership,7,0,False
music_final_vs_music_story,most,0,1,False
music_final_vs_music_story,music,1,1,True
music_final_vs_music_story,musical,3,0,False
music_final_vs_music_story,musician,3,0,False
music_final_vs_music_story,name,2,0,False
music_final_vs_music_story,optional,1,0,False
music_final_vs_music_story,oregon,0,1,False
music_final_vs_music_story,peligo,0,1,False
music_final_vs_music_story,pepper,0,3,False
music_final_vs_music_story,perform,1,0,False
music_final_vs_music_story,performance,12,1,True
music_final_vs_music_story,performed,6,0,False
music_final_vs_music_story,person,5,0,False
music_final_vs_music_story,play,1,0,False
music_final_vs_music_story,playing,0,1,False
music_final_vs_music_story,portland,0,1,False
music_final_vs_music_story,production,0,1,False
music_final_vs_music_story,record,3,0,False
music_final_vs_music_story,recorded,2,0,False
music_final_vs_music_story,recording,5,1,True
music_final_vs_music_story,red,0,3,False
music_final_vs_music_story,region,1,0,False
music_final_vs_music_story,reified,1,0,False
music_final_vs_music_story,release,4,0,False
music_final_vs_music_story,released,0,1,False
music_final_vs_music_story,replaced,0,2,False
music_final_vs_music_story,reviewed,1,0,False
music_final_vs_music_story,role,4,0,False
music_final_vs_music_story,september,0,1,False
music_final_vs_music_story,session,1,0,False
music_final_vs_music_story,slovak,0,1,False
music_final_vs_music_story,smith,0,2,False
music_final_vs_music_story,some,0,1,False
music_final_vs_music_story,song,10,2,True
music_final_vs_music_story,stadium,0,2,False
music_final_vs_music_story,start,3,0,False
music_final_vs_music_story,started,0,1,False
music_final_vs_music_story,state,2,0,False
music_final_vs_music_story,statement,3,0,False
music_final_vs_music_story,text,1,0,False
music_final_vs_music_story,three,0,1,False
music_final_vs_music_story,time,3,2,True
music_final_vs_music_story,track,12,2,True
music_final_vs_music_story,trumpet,0,1,False
music_final_vs_music_story,twenty,0,1,False
music_final_vs_music_story,until,0,1,False
music_final_vs_music_story,vocal,0,2,False
music_final_vs_music_story,vocalist,0,1,False
music_final_vs_music_story,volta,0,1,False
music_final_vs_music_story,work,0,1,False
music_final_vs_music_story,year,0,1,False
hospital_final_vs_hospital_story,after,0,1,False
hospital_final_vs_hospital_story,agent,1,0,False
hospital_final_vs_hospital_story,all,0,1,False
hospital_final_vs_hospital_story,article,10,7,True
hospital_final_vs_hospital_story,assistant,1,1,True
hospital_final_vs_hospital_story,association,2,0,False
hospital_final_vs_hospital_story,available,0,1,False
hospital_final_vs_hospital_story,awarded,1,0,False
hospital_final_vs_hospital_story,become,0,2,False
hospital_final_vs_hospital_story,book,2,4,True
hospital_final_vs_hospital_story,both,0,2,False
hospital_final_vs_hospital_story,can,0,1,False
hospital_final_vs_hospital_story,cancer,0,2,False
hospital_final_vs_hospital_story,care,0,3,False
hospital_final_vs_hospital_story,certified,1,1,True
hospital_final_vs_hospital_story,city,5,1,True
hospital_final_vs_hospital_story,collection,3,4,True
hospital_final_vs_hospital_story,constantly,0,1,False
hospital_final_vs_hospital_story,contain,1,1,True
hospital_final_vs_hospital_story,continue,0,1,False
hospital_final_vs_hospital_story,count,3,0,False
hospital_final_vs_hospital_story,country,3,0,False
hospital_final_vs_hospital_story,date,10,0,False
hospital_final_vs_hospital_story,december,0,1,False
hospital_final_vs_hospital_story,decided,0,1,False
hospital_final_vs_hospital_story,degree,9,1,True
hospital_final_vs_hospital_story,delle,0,3,False
hospital_final_vs_hospital_story,direction,0,1,False
hospital_final_vs_hospital_story,discussing,0,1,False
hospital_final_vs_hospital_story,doctor,3,2,True
hospital_final_vs_hospital_story,electronically,0,1,False
hospital_final_vs_hospital_story,employed,1,1,True
hospital_final_vs_hospital_story,employee,4,1,True
hospital_final_vs_hospital_story,employer,2,0,False
hospital_final_vs_hospital_story,employment,2,0,False
hospital_final_vs_hospital_story,end,1,0,False
hospital_final_vs_hospital_story,entitled,0,2,False
hospital_final_vs_hospital_story,evaluate,1,1,True
hospital_final_vs_hospital_story,evaluatee,1,0,False
hospital_final_vs_hospital_story,evaluation,4,0,False
hospital_final_vs_hospital_story,evaluator,1,0,False
hospital_final_vs_hospital_story,event,2,0,False
hospital_final_vs_hospital_story,experience,0,1,False
hospital_final_vs_hospital_story,first,0,1,False
hospital_final_vs_hospital_story,found,0,1,False
hospital_final_vs_hospital_story,gennaro,0,3,False
hospital_final_vs_hospital_story,group,1,0,False
hospital_final_vs_hospital_story,held,3,1,True
hospital_final_vs_hospital_story,hold,1,1,True
hospital_final_vs_hospital_story,hospital,3,5,True
hospital_final_vs_hospital_story,improving,0,1,False
hospital_final_vs_hospital_story,inferiore,0,2,False
hospital_final_vs_hospital_story,institution,1,0,False
